urn:lsid:ipni.org:names:30000959-2	urn:kew.org:sanbi:LSP:tab1fam:ref:342	Snijman & Linder: 362 (1996).	Snijman & Linder	1996
urn:lsid:ipni.org:names:30337549-2	urn:kew.org:sanbi:LSP:tab1fam:ref:344	Nordal et al.: 1 (1997).	Nordal et al.	1997
urn:lsid:ipni.org:names:77126758-1	urn:kew.org:sanbi:LSP:tab1fam:ref:346	Cook: 39 (1990).	Cook	1990
urn:lsid:ipni.org:names:30000216-2	urn:kew.org:sanbi:LSP:tab1fam:ref:348	Mayo et al.: 80 (1997).	Mayo et al.	1997
urn:lsid:ipni.org:names:30000211-2	urn:kew.org:sanbi:LSP:tab1fam:ref:350	Uhl & Dransfield: 161 (1987).	Uhl & Dransfield	1987
urn:lsid:ipni.org:names:30275682-2	urn:kew.org:sanbi:LSP:tab1fam:ref:352	Obermeyer & Immelman: 11 (1992).	Obermeyer & Immelman	1992
urn:lsid:ipni.org:names:77126740-1	urn:kew.org:sanbi:LSP:tab1fam:ref:356	Hutchinson: 841 (1973).	Hutchinson	1973
urn:lsid:ipni.org:names:30004770-2	urn:kew.org:sanbi:LSP:tab1fam:ref:358	Hutchinson: 727 (1973).	Hutchinson	1973
urn:lsid:ipni.org:names:77126743-1	urn:kew.org:sanbi:LSP:tab1fam:ref:360	Thulin: 67 (1995).	Thulin	1995
urn:lsid:ipni.org:names:30000225-2	urn:kew.org:sanbi:LSP:tab1fam:ref:362	Faden & Hunt: 19 (1991).	Faden & Hunt	1991
urn:lsid:ipni.org:names:30150816-2	urn:kew.org:sanbi:LSP:tab1fam:ref:364	Cook: 63 (1990).	Cook	1990
urn:lsid:ipni.org:names:30000197-2	urn:kew.org:sanbi:LSP:tab1fam:ref:366	Goetghebeur (1998).	Goetghebeur	1998
urn:lsid:ipni.org:names:77126727-1	urn:kew.org:sanbi:LSP:tab1fam:ref:368	Burkill: 319 (1960).	Burkill	1960
urn:lsid:ipni.org:names:30131467-2	urn:kew.org:sanbi:LSP:tab1fam:ref:370	Obermeyer: 5 (1992).	Obermeyer	1992
urn:lsid:ipni.org:names:30000867-2	urn:kew.org:sanbi:LSP:tab1fam:ref:372	Obermeyer: 9 (1985).	Obermeyer	1985
urn:lsid:ipni.org:names:50936640-1	urn:kew.org:sanbi:LSP:tab1fam:ref:374	Dahlgren et al.: 168 (1985).	Dahlgren et al.	1985
urn:lsid:ipni.org:names:77126747-1	urn:kew.org:sanbi:LSP:tab1fam:ref:376	Ross: 115 (1972).	Ross	1972
urn:lsid:ipni.org:names:30026802-2	urn:kew.org:sanbi:LSP:tab1fam:ref:378	Simpson: 722 (1990).	Simpson	1990
urn:lsid:ipni.org:names:30298455-2	urn:kew.org:sanbi:LSP:tab1fam:ref:380	Dahlgren et al.: 188 (1985), Stedje: 1 (1996).	Dahlgren et al.	1985
urn:lsid:ipni.org:names:30013086-2	urn:kew.org:sanbi:LSP:tab1fam:ref:382	Cook: 96 (1990).	Cook	1990
